location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population
Canada,3/28/2021,965523,4228,22881,28,706,2269,,,124221,27357887,0.0417,24,5184783,4496584,688174,25,148501,38067913
Canada,3/29/2021,971890,6367,22901,20,726,2221,,,108493,27466380,0.0438,22.8,5373570,4679410,694135,25,188787,38067913
Canada,3/30/2021,976901,5011,22927,26,728,2506,,,83928,27550308,0.0449,22.3,5548659,4846109,702525,25,175089,38067913
Canada,3/31/2021,982820,5919,22960,33,740,2516,,,94212,27644520,0.0462,21.7,5773517,5062421,711071,25,224858,38067913
Canada,4/1/2021,988635,5815,23003,43,757,2537,,,128335,27772855,0.0463,21.6,5983274,5261381,721867,26,209757,38067913
Canada,4/2/2021,993284,4649,23031,28,766,2605,,,139412,27912267,0.0453,22.1,6154817,5426559,728231,27,171543,38067913
Canada,4/3/2021,999154,5870,23051,20,801,2231,,,134665,28046932,0.0466,21.5,6349758,5617912,731817,29,194941,38067913
Canada,4/4/2021,1003570,4416,23075,24,833,2253,,,128624,28175556,0.0465,21.5,6471197,5738473,732694,30,121439,38067913
Canada,4/5/2021,1010980,7410,23096,21,873,2426,,,103282,28278838,0.0481,20.8,6653352,5907296,746026,30,182155,38067913
Canada,4/6/2021,1021686,10706,23142,46,879,2692,,,85363,28364201,0.055,18.2,6856288,6098212,758045,31,202936,38067913
Canada,4/7/2021,1029204,7518,23174,32,897,2963,,,90246,28454447,0.0573,17.5,7091942,6316059,775852,31,235654,38067913
Canada,4/8/2021,1037310,8106,23212,38,928,3024,,,123638,28578085,0.0604,16.5,7351827,6557648,794148,31,259885,38067913
Canada,4/9/2021,1046733,9423,23252,40,962,3088,,,147257,28725342,0.0657,15.2,7656301,6842758,813509,34,304474,38067913
Canada,4/10/2021,1053873,7140,23288,36,1000,3141,,,150904,28876246,0.066,15.2,7899977,7069756,830187,34,243676,38067913
Canada,4/11/2021,1061451,7578,23316,28,1026,3187,,,141637,29017883,0.0687,14.6,8083375,7248157,835183,35,183398,38067913
Canada,4/12/2021,1072130,10679,23357,41,1059,3388,,,129708,29147591,0.0704,14.2,8420680,7566276,854368,36,337305,38067913
Canada,4/13/2021,1079724,7594,23393,36,1067,3605,,,110265,29257856,0.0649,15.4,8693642,7824278,869327,37,272962,38067913
Canada,4/14/2021,1088278,8554,23446,53,1097,3721,,,106751,29364607,0.0649,15.4,8992974,8109670,883266,38,299332,38067913
Canada,4/15/2021,1098013,9735,23501,55,1117,3766,,,133832,29498439,0.066,15.2,9302575,8402488,900049,38,309601,38067913
Canada,4/16/2021,1107287,9274,23542,41,1178,3811,,,160320,29658759,0.0649,15.4,9625339,8717595,907704,40,322764,38067913
Canada,4/17/2021,1114876,7589,23592,50,1213,3970,,,151379,29810138,0.0653,15.3,9880550,8948776,931734,40,255211,38067913
Canada,4/18/2021,1122145,7269,23624,32,1237,4010,,,140001,29950139,0.0651,15.4,10081570,9144196,937331,43,201020,38067913
Canada,4/19/2021,1132525,10380,23668,44,1262,4145,,,123321,30073460,0.0652,15.3,10344552,9386809,957698,45,262982,38067913
Canada,4/20/2021,1139882,7357,23714,46,1295,4337,,,102172,30175632,0.0655,15.3,10583957,9614313,969598,46,239405,38067913
Canada,4/21/2021,1148285,8403,23764,50,1325,4351,,,105804,30281436,0.0655,15.3,10903024,9919771,983203,50,319067,38067913
Canada,4/22/2021,1156512,8227,23823,59,1345,4422,,,137021,30418457,0.0636,15.7,11269172,10267961,1001159,52,366148,38067913
Canada,4/23/2021,1165128,8616,23884,61,1367,4354,,,140849,30559306,0.0642,15.6,11633880,10613593,1020228,59,364708,38067913
Canada,4/24/2021,1172639,7511,23928,44,1391,4350,,,145991,30705297,0.0645,15.5,11923215,10887081,1036073,61,289335,38067913
Canada,4/25/2021,1179498,6859,23966,38,1405,4200,,,135441,30840738,0.0644,15.5,12155950,11110052,1045835,63,232735,38067913
Canada,4/26/2021,1188508,9010,24025,59,1434,4384,,,119641,30960379,0.0631,15.8,12419564,11364593,1054905,66,263614,38067913
Canada,4/27/2021,1195765,7257,24066,41,1436,4491,,,104008,31064387,0.0629,15.9,12681917,11606188,1075659,70,262353,38067913
Canada,4/28/2021,1203487,7722,24118,52,1431,4416,,,108834,31173221,0.0619,16.2,12947754,11855559,1092121,74,265837,38067913
Canada,4/29/2021,1211906,8419,24170,52,1463,4354,,,151954,31325175,0.0611,16.4,13254402,12141206,1113120,76,306648,38067913
Canada,4/30/2021,1220378,8472,24220,50,1456,4303,,,154117,31479292,0.0601,16.7,13536973,12405771,1131122,80,282571,38067913
Canada,5/1/2021,1227807,7429,24262,42,1469,4236,,,150510,31629802,0.0597,16.8,13771556,12621256,1150212,88,234583,38067913
Canada,5/2/2021,1234732,6925,24301,39,1468,4068,,,126896,31756698,0.0603,16.6,13945048,12783247,1161709,92,173492,38067913
Canada,5/3/2021,1243856,9124,24342,41,1462,4045,,,141190,31897888,0.059,16.9,14172299,13001756,1170449,94,227251,38067913
Canada,5/4/2021,1250657,6801,24397,55,1462,4311,,,111601,32009489,0.0581,17.2,14407259,13216836,1190321,102,234960,38067913
Canada,5/5/2021,1258031,7374,24451,54,1438,4213,,,118179,32127668,0.0571,17.5,14694142,13485254,1208779,109,286883,38067913
Canada,5/6/2021,1266161,8130,24490,39,1425,4066,,,138592,32266260,0.0577,17.3,15054064,13822189,1231759,116,359922,38067913
Canada,5/7/2021,1274073,7912,24530,40,1409,4035,,,142659,32408919,0.0578,17.3,15454178,14196474,1257579,125,400114,38067913
Canada,5/8/2021,1280731,6658,24569,39,1391,3913,,,140834,32549753,0.0575,17.4,15784080,14505759,1278194,127,329902,38067913
Canada,5/9/2021,1287175,6444,24627,58,1386,3720,,,107001,32656754,0.0583,17.2,16057056,14770325,1286599,132,272976,38067913
Canada,5/10/2021,1294719,7544,24683,56,1368,3721,,,90029,32746783,0.0599,16.7,16393848,15088908,1304807,133,336792,38067913
Canada,5/11/2021,1300278,5559,24715,32,1345,3905,,,120569,32867352,0.0578,17.3,16697800,15373042,1324619,139,303952,38067913
Canada,5/12/2021,1306606,6328,24769,54,1329,3832,,,133776,33001128,0.0556,18,17048534,15699585,1348808,141,350734,38067913
Canada,5/13/2021,1313330,6724,24826,57,1330,3783,,,129090,33130218,0.0546,18.3,17445870,16067919,1377806,145,397336,38067913
Canada,5/14/2021,1319274,5944,24870,44,1343,3700,,,130406,33260624,0.0531,18.8,17880977,16467658,1413171,148,435107,38067913
Canada,5/15/2021,1324439,5165,24909,39,1346,3621,,,123074,33383698,0.0524,19.1,18248031,16809433,1438441,157,367054,38067913
Canada,5/16/2021,1329183,4744,24949,40,1350,3333,,,98467,33482165,0.0509,19.6,18567225,17112963,1454104,158,319194,38067913
Canada,5/17/2021,1334737,5554,24983,34,1332,3362,,,110108,33592273,0.0473,21.1,18959634,17490690,1468784,160,392409,38067913
Canada,5/18/2021,1338807,4070,25019,36,1321,3552,,,76001,33668274,0.0481,20.8,19246660,17749565,1496930,165,287026,38067913
Canada,5/19/2021,1343270,4463,25067,48,1283,3432,,,85837,33754111,0.0487,20.5,19606598,18072913,1533515,170,359938,38067913
Canada,5/20/2021,1348341,5071,25112,45,1243,3301,,,109518,33863629,0.0477,20.9,20007793,18429665,1577950,178,401195,38067913
Canada,5/21/2021,1352819,4478,25163,51,1233,3182,,,115414,33979043,0.0467,21.4,20493274,18860936,1632148,190,485481,38067913
Canada,5/22/2021,1356453,3634,25204,41,1204,3070,,,104070,34083113,0.0458,21.8,20885402,19202734,1682472,196,392128,38067913
Canada,5/23/2021,1359740,3287,25232,28,1190,2888,,,73772,34156885,0.0453,22.1,21196087,19489435,1706455,197,310685,38067913
Canada,5/24/2021,1362546,2806,25262,30,1171,2802,,,61928,34218813,0.0444,22.5,21553782,19827192,1726387,203,357695,38067913
Canada,5/25/2021,1366078,3532,25325,63,1174,2837,,,96538,34315351,0.0421,23.7,21809403,20059797,1749400,206,255621,38067913
Canada,5/26/2021,1368823,2745,25362,37,1149,2851,,,56992,34372343,0.0413,24.2,22133106,20330012,1802878,216,323703,38067913
Canada,5/27/2021,1371767,2944,25412,50,1108,2796,,,77218,34449561,0.04,25,22527084,20660790,1866070,224,393978,38067913
Canada,5/28/2021,1374948,3181,25441,29,1078,2707,,,100596,34550157,0.0387,25.8,22986580,21048421,1937922,237,459496,38067913
Canada,5/29/2021,1377300,2352,25479,38,1050,2556,,,100197,34650354,0.0368,27.2,23334734,21326713,2007771,250,348154,38067913
Canada,5/30/2021,1379495,2195,25513,34,1040,2320,,,66999,34717353,0.0352,28.4,23653885,21579750,2073875,260,319151,38067913
Canada,5/31/2021,1382077,2582,25548,35,1032,2246,,,72716,34790069,0.0342,29.2,24044376,21904694,2139416,266,390491,38067913
Canada,6/1/2021,1383788,1711,25567,19,988,2308,,,72790,34862859,0.0323,30.9,24359699,22136440,2222979,280,315323,38067913
Canada,6/2/2021,1385860,2072,25613,46,953,2172,,,65068,34927927,0.0307,32.6,24706800,22382121,2324364,315,347101,38067913
Canada,6/3/2021,1388029,2169,25645,32,898,2107,,,89777,35017704,0.0286,34.9,25121751,22656936,2464483,332,414951,38067913
Canada,6/4/2021,1390047,2018,25680,35,852,2010,,,86977,35104681,0.0272,36.7,25582848,22947809,2634678,361,461097,38067913
Canada,6/5/2021,1391700,1653,25713,33,834,1924,,,58250,35162931,0.0281,35.6,25962565,23182309,2779889,367,379717,38067913
Canada,6/6/2021,1393061,1361,25725,12,815,1840,,,8248,35171179,0.0299,33.5,26286632,23379785,2906466,381,324067,38067913
Canada,6/7/2021,1394613,1552,25762,37,806,1800,,,146126,35317305,0.0238,42.1,26695374,23634242,3060747,385,408742,38067913
Canada,6/8/2021,1395930,1317,25792,30,778,1849,,,47048,35364353,0.0242,41.3,27048472,23797186,3250887,399,353098,38067913
Canada,6/9/2021,1397314,1384,25844,52,752,1774,,,58620,35422973,0.0231,43.2,27453236,23962491,3490333,412,404764,38067913
Canada,6/10/2021,1398817,1503,25874,30,733,1648,,,81056,35504029,0.0222,45.1,27931194,24140048,3790710,436,477958,38067913
Canada,6/11/2021,1400227,1410,25887,13,711,1585,,,77887,35581916,0.0213,46.9,28434123,24313887,4119783,453,502929,38067913
Canada,6/12/2021,1401464,1237,25915,28,681,1521,,,57349,35639265,0.0205,48.8,28853968,24441652,4411834,482,419845,38067913
Canada,6/13/2021,1402558,1094,25932,17,690,1402,,,8252,35647517,0.0199,50.2,29232669,24558609,4673552,508,378701,38067913
Canada,6/14/2021,1403701,1143,25946,14,664,1383,,,137945,35785462,0.0194,51.5,29680344,24689287,4990517,540,447675,38067913
Canada,6/15/2021,1404587,886,25973,27,624,1429,,,45284,35830746,0.0186,53.9,30129144,24807015,5321555,574,448800,38067913
Canada,6/16/2021,1405625,1038,26001,28,609,1373,,,59171,35889917,0.0178,56.2,30594190,24904910,5688674,606,465046,38067913
Canada,6/17/2021,1406739,1114,26013,12,579,1295,,,84632,35974549,0.0168,59.4,31101741,25009056,6092047,638,507551,38067913
Canada,6/18/2021,1407749,1010,26024,11,572,1251,,,78156,36052705,0.016,62.6,31637585,25107001,6529912,672,535844,38067913
Canada,6/19/2021,1408565,816,26055,31,545,1185,,,52142,36104847,0.0153,65.6,32059720,25174615,6884371,734,422135,38067913
Canada,6/20/2021,1409234,669,26077,22,547,1104,,,6451,36111298,0.0144,69.5,32410322,25234844,7174726,752,350602,38067913
Canada,6/21/2021,1409988,754,26087,10,538,1068,,,132344,36243642,0.0137,72.9,32816721,25315094,7500859,768,406399,38067913
Canada,6/22/2021,1410658,670,26155,68,520,1102,,,43848,36287490,0.0133,75.2,33289191,25378250,7910137,804,472470,38067913
Canada,6/23/2021,1411330,672,26176,21,514,1056,,,57255,36344745,0.0125,79.7,33805927,25437415,8367662,850,516736,38067913
Canada,6/24/2021,1412036,706,26193,17,491,1016,,,70980,36415725,0.012,83.3,34398523,25506073,8891527,923,592596,38067913
Canada,6/25/2021,1412624,588,26198,5,478,978,,,68938,36484663,0.0113,88.6,34920486,25562715,9356822,949,521963,38067913
Canada,6/26/2021,1413247,623,26215,17,477,967,,,42381,36527044,0.0111,90.2,35364921,25607135,9756793,993,444435,38067913
Canada,6/27/2021,1413731,484,26228,13,479,901,,,6086,36533130,0.0107,93.8,35724421,25648687,10074700,1034,359500,38067913
